maneuver,agent,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_survival_time_s,mean_time_to_collision_s,mean_creep_zone_speed,high_speed_zone_rate,creep_speed_rate,mean_min_ttc,mean_min_conflict_ttc,mean_action_change_rate,mean_ego_speed,ego_stop_rate,mean_ego_stopped_time_s,mean_ego_delay_proxy_s,mean_traffic_vehicle_seconds,mean_traffic_speed,traffic_stop_rate,mean_traffic_delay_proxy_s,mean_system_delay_proxy_s,slower_action_rate,idle_action_rate,faster_action_rate,safety_shield,mean_safety_intervention_rate,mean_safety_emergency_brake_rate,mean_safety_violation_rate,mean_safety_min_h,mean_safety_neighbor_rate,condition,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control
left,efficiency_left_fast_batch0,20,0.5,0.5,0.0,61.16813678098636,6.929999999999998,5.24,8.98737320052091,1.0,0.0,0.5731372700432537,1.51858672700354,0.03076924202003541,9.065660666254342,0.0,0.0,0.0,46.07,7.5119298466037705,0.000886075949367085,4.49150907583737,4.49150907583737,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_batch1,20,0.45,0.55,0.0,56.755157792695215,6.9,5.2,8.532685093831219,0.95,0.0,0.7996091990586851,1.661786444544737,0.07824885104776472,9.038729482804447,0.0,0.0,0.00039981007651223,52.120000000000005,7.42690339665491,0.0020066546722175746,5.41574520697591,5.416145017052422,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_batch2,20,0.55,0.45,0.0,67.6834015165874,7.169999999999999,5.155555555555556,8.983105234720112,1.0,0.0,0.5138460490131769,1.3923434252906886,0.030199416543635893,9.064202624351772,0.0,0.0,0.0,56.92999999999999,7.468596078873442,0.0065372983742008044,5.9945572974425785,5.9945572974425785,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_batch3,20,0.7,0.3,0.0,83.7293616695206,7.639999999999999,5.1000000000000005,8.990136767861781,1.0,0.0,0.6308943742695077,1.4570914379370081,0.027969568668671268,9.060041630055137,0.0,0.0,0.00019971403887632998,57.519999999999996,7.55850022065558,0.0019414984604858,5.179619401506875,5.179819115545752,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132080,1,0.0,1.0,0.0,6.352514847718389,5.2,5.2,8.951377387313656,1.0,0.0,0.4133558774604272,0.9190546171624172,0.0384615384615384,9.067661947089396,0.0,0.0,0.0,38.8,6.887897018345411,0.0,6.217571121556715,6.217571121556715,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132081,1,1.0,0.0,0.0,120.0677943415472,9.0,,9.0010375420016,1.0,0.0,0.5364161952981584,2.227832571471223,0.0222222222222222,9.052432149141568,0.0,0.0,0.0,80.8,7.187930263657804,0.0049504950495049,10.426615907481164,10.426615907481164,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132082,1,0.0,1.0,0.0,2.2582177112363624,5.0,5.0,9.00343203777952,1.0,0.0,0.5638612361177671,1.5193360325188066,0.04,9.094364126120515,0.0,0.0,0.0,27.8,6.763228852314238,0.0,4.313496650619766,4.313496650619766,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132083,1,1.0,0.0,0.0,125.55893962819864,9.6,,9.000359445445227,1.0,0.0,0.4709381838726206,0.7384472509867038,0.0208333333333333,9.049155143812898,0.0,0.0,0.0,102.8,7.08643788477739,0.0,12.322924314935884,12.322924314935884,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132084,1,1.0,0.0,0.0,116.21719715871332,8.6,,9.002103394923676,1.0,0.0,0.4829372651067904,1.2826190041404064,0.0232558139534883,9.054870846747244,0.0,0.0,0.0,79.6,7.696246130409391,0.0,6.448571731320032,6.448571731320032,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132085,1,0.0,1.0,0.0,6.948358605661177,5.8,5.8,8.9667003308283,1.0,0.0,0.6814324273996529,1.0593284193247914,0.0344827586206896,9.06066776252278,0.0,0.0,0.0,36.0,7.900168081392878,0.0,2.518204865954503,2.518204865954503,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132086,1,0.0,1.0,0.0,-0.6532078920616442,4.4,4.4,8.943301601840451,1.0,0.0,0.397602791735735,0.6658406897176876,0.0454545454545454,9.079930704885642,0.0,0.0,0.0,22.8,8.4316156794677,0.0,0.5078621672346502,0.5078621672346502,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
left,efficiency_left_fast_seed_132087,1,1.0,0.0,0.0,119.91395558784694,9.0,,9.0010375420016,1.0,0.0,0.471045782621751,3.4613035505576355,0.0222222222222222,9.052432149141568,0.0,0.0,0.0,70.0,7.679298385803111,0.0,4.313895883330848,4.313895883330848,0.0,0.0,1.0,False,0.0,0.0,0.0,,0.0,fast_non_creeping,6,0.35,22,False,unmodified_highway_env_IDMVehicle
