maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
straight,150000,3,False,False,True,10.0,0.0,43.759095445777696,7,4.4679967125582,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,0
straight,150001,3,False,False,True,10.0,0.0,42.53774147112718,7,3.2417024526936578,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,1
straight,150002,3,False,False,True,10.0,0.0,46.19728349182478,7,8.122814938256846,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,2
straight,150003,3,False,False,True,10.0,0.0,51.87418101153967,7,2.7670123303429994,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,3
straight,150004,3,False,False,True,10.0,0.0,44.70737705794008,9,8.299447051791729,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,4
straight,150005,3,False,False,True,10.0,0.0,49.811645948634705,8,3.79091019772392,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,5
straight,150006,3,False,False,True,10.0,0.0,47.05528177501367,8,6.601824759856622,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,6
straight,150007,3,False,False,True,10.0,0.0,47.38759883093466,11,7.731624590348934,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,7
straight,150008,3,False,False,True,10.0,0.0,51.23171494909544,9,2.860171110355144,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,8
straight,150009,3,False,False,True,10.0,0.0,51.91806309315565,5,5.768023492652975,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,9
straight,150010,3,False,False,True,10.0,0.0,54.86308155581499,8,6.890347306907337,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,10
straight,150011,3,False,False,True,10.0,0.0,41.48968980183016,8,8.811641529830135,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,11
straight,150012,3,False,False,True,10.0,0.0,38.35619861553636,5,5.502057004264431,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,12
straight,150013,3,False,False,True,10.0,0.0,45.147691205136006,11,2.892801690311997,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,13
straight,150014,3,False,False,True,10.0,0.0,40.38136290272912,7,5.68694313282928,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,14
straight,150015,3,False,False,True,10.0,0.0,49.375471416952585,9,4.654141185769377,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,15
straight,150016,3,False,False,True,10.0,0.0,49.38156915631467,8,2.849677274647354,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,16
straight,150017,3,False,False,True,10.0,0.0,48.54480297663214,5,inf,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,17
straight,150018,3,False,False,True,10.0,0.0,45.60410339190901,7,5.4762742693002675,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,18
straight,150019,3,False,False,True,10.0,0.0,53.45880261065408,6,13.220516470319792,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,19
straight,150020,3,False,False,True,10.0,0.0,42.536022933052884,8,10.0499030625187,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,20
straight,150021,3,False,False,True,10.0,0.0,52.51009941586066,10,4.235371855726523,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,21
straight,150022,3,False,False,True,10.0,0.0,52.45560691945456,8,4.344678971665151,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,22
straight,150023,3,False,False,True,10.0,0.0,47.22788214207963,7,3.981154772477992,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,23
