maneuver,agent,episode,return,steps,survival_time_s,collided,collision_count,success,timeout,time_to_collision_s,min_ttc,min_conflict_ttc,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,conflict_steps,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate
straight,s_dense,0,36.13332336920053,47,9.4,True,1,False,False,9.4,0.6508753618073374,1.6610169588089847,3.6123931948902515,0.0,1.0,22,0.2765957446808511,0.2553191489361702,0.6382978723404256,0.10638297872340426
straight,s_dense,1,233.30929268539677,88,17.6,False,0,True,False,,0.6530489917461064,1.5274062150105758,3.85650894913476,0.0,1.0,42,0.3181818181818182,0.14772727272727273,0.7613636363636364,0.09090909090909091
straight,s_dense,2,25.62876311679932,43,8.6,True,1,False,False,8.6,1.1406354481934615,1.7777603496523247,3.5699668686694395,0.0,1.0,20,0.32558139534883723,0.32558139534883723,0.5581395348837209,0.11627906976744186
straight,s_dense,3,222.53982534801895,82,16.4,False,0,True,False,,0.6134370231421427,2.1065900383692435,4.097942174413892,0.07547169811320754,0.8679245283018868,38,0.35365853658536583,0.14634146341463414,0.7195121951219512,0.13414634146341464
straight,s_dense,4,223.5974527503481,85,17.0,False,0,True,False,,0.629922779063022,2.2766623155660954,3.7809019048243706,0.03389830508474576,0.9661016949152542,42,0.36470588235294116,0.17647058823529413,0.6823529411764706,0.1411764705882353
straight,s_dense,5,38.62872436843461,45,9.0,True,1,False,False,9.0,0.6957099547760373,1.6815165618741827,4.06421017626434,0.0,1.0,17,0.2222222222222222,0.2222222222222222,0.7333333333333333,0.044444444444444446
straight,s_dense,6,2.3633760034126468,33,6.6,True,1,False,False,6.6,0.7578699839666815,2.8174117394391773,4.047303134287171,0.05,0.95,11,0.48484848484848486,0.2727272727272727,0.5757575757575758,0.15151515151515152
straight,s_dense,7,227.6562300723902,82,16.4,False,0,True,False,,0.6458930213565666,3.1555227980851943,4.419094608828718,0.02,0.98,33,0.2073170731707317,0.0975609756097561,0.8414634146341463,0.06097560975609756
straight,s_dense,8,207.19269268056757,74,14.8,False,0,True,False,,0.6048253562265329,2.519817072194575,4.134721196448447,0.0,1.0,37,0.24324324324324326,0.17567567567567569,0.7432432432432432,0.08108108108108109
straight,s_dense,9,224.81308047460254,82,16.4,False,0,True,False,,0.6460335296452184,2.681440740405951,4.233539666380749,0.0,1.0,36,0.15853658536585366,0.12195121951219512,0.8292682926829268,0.04878048780487805
