maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc
straight,straight_vdense_suited,0,True,False,231.58334485744987,80,16.0,4.518601091806649,0.0,1.0,1.6011084889766585,inf
straight,straight_vdense_suited,1,True,False,228.81815906445735,78,15.6,4.5186210972212555,0.0,1.0,1.257326048741766,3.8210398334411138
straight,straight_vdense_suited,2,True,False,226.42505458651362,80,16.0,4.508907478628526,0.0,1.0,1.5906806706906453,inf
straight,straight_vdense_suited,3,True,False,225.69908770408728,76,15.2,4.6374265954622285,0.10638297872340426,0.8723404255319149,5.119318396179538,inf
straight,straight_vdense_suited,4,True,False,234.1097361834537,82,16.4,4.506761145819744,0.0,1.0,2.954622991863486,inf
straight,straight_vdense_suited,5,True,False,224.91837332711538,80,16.0,4.5063863403340285,0.0,1.0,1.217408736164415,inf
straight,straight_vdense_suited,6,True,False,219.57480956512825,77,15.4,4.544230600550818,0.04081632653061224,0.9591836734693877,4.54448109789228,inf
straight,straight_vdense_suited,7,True,False,219.85788837624224,80,16.0,4.502089652761415,0.0,1.0,1.587157506395569,inf
straight,straight_vdense_suited,8,True,False,229.2940230704155,80,16.0,4.509702599866556,0.0,1.0,1.6259574420751943,inf
straight,straight_vdense_suited,9,True,False,225.8966535227351,83,16.6,4.50163109600095,0.0,1.0,1.5779254198638908,inf
