maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc
left,left_final,0,True,False,198.12904162901148,76,15.2,4.040356145191314,0.0,1.0,0.6308576800379085,2.7570012132549198
left,left_final,1,True,False,225.45530807113875,92,18.4,3.790375682154291,0.0,1.0,0.6773484586903747,1.9602117761889326
left,left_final,2,True,False,225.17990711538656,92,18.4,3.829511535482651,0.0,1.0,0.6288189491793161,1.6409072351876983
left,left_final,3,True,False,209.70041739881862,80,16.0,4.502178574087841,0.0,1.0,4.0278771647691824,2.8599951622101534
left,left_final,4,True,False,212.94313077151628,85,17.0,4.008411921546811,0.0,1.0,2.0694880878924513,2.162229009457667
left,left_final,5,True,False,211.52591799339154,81,16.2,4.5033359240066435,0.0,1.0,1.048689268123355,5.439684068985844
left,left_final,6,True,False,209.81538407609025,80,16.0,4.502225934336263,0.0,1.0,0.5731770051570333,2.8745747435054385
left,left_final,7,True,False,205.7838456568046,79,15.8,4.502335698883299,0.0,1.0,6.017370459243005,4.744873224948799
left,left_final,8,True,False,219.08126336178086,82,16.4,4.509831533003955,0.0,1.0,1.411227028522174,3.300942167816996
left,left_final,9,True,False,202.415136039346,80,16.0,4.347007042723494,0.0,1.0,1.4296624411304548,2.6861947340085837
