maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc
straight,straight_final,0,False,True,2.380500888349701,30,6.0,3.8152074912279734,0.045454545454545456,0.9090909090909091,0.6575783900932052,2.25929275615903
straight,straight_final,1,True,False,237.3374922262492,87,17.4,4.112642138488266,0.0,1.0,0.5674405097581524,2.1100223070163464
straight,straight_final,2,True,False,236.3372021450865,88,17.6,4.087173559492716,0.07547169811320754,0.8867924528301887,1.2853063906514213,1.54114079170956
straight,straight_final,3,True,False,219.48735003454482,81,16.2,4.27022965583756,0.0196078431372549,0.9803921568627451,0.640930714041264,2.5537319895162334
straight,straight_final,4,True,False,225.5569846643658,85,17.0,4.016932238904841,0.0,1.0,1.4419031928182426,2.2243004681579133
straight,straight_final,5,True,False,223.96449921141027,80,16.0,4.503196927314437,0.0,1.0,0.5067113212916828,5.221320197473501
straight,straight_final,6,True,False,220.92289365579686,79,15.8,4.390947960462606,0.0,1.0,0.6428501573955014,2.88084463126946
straight,straight_final,7,True,False,220.67457670941636,76,15.2,4.549124232938089,0.020833333333333332,0.9375,2.6068410925461953,5.143452770160123
straight,straight_final,8,True,False,227.75994722169537,83,16.6,4.398788555323982,0.0,1.0,0.6322908549689779,3.5962200610652957
straight,straight_final,9,True,False,216.60544522968053,79,15.8,4.312355300396767,0.0196078431372549,0.9803921568627451,0.6552848370524621,2.909202485776976
