maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc
left,left_vdense_suited,0,True,False,221.14356957067787,80,16.0,4.519361108802155,0.0,1.0,0.5100125025047746,3.864208976661799
left,left_vdense_suited,1,True,False,217.04507148254956,79,15.8,4.51983551547368,0.0,1.0,3.0326421615538397,3.8210398334411138
left,left_vdense_suited,2,True,False,215.27659687472936,79,15.8,4.51023720434464,0.0,1.0,1.4784862005389092,inf
left,left_vdense_suited,3,True,False,167.17384494139583,60,12.0,6.889299252030367,1.0,0.0,0.5548249274480466,inf
left,left_vdense_suited,4,True,False,176.18236496120082,62,12.4,6.984782079171362,1.0,0.0,0.6259853416215155,3.9312546339841026
left,left_vdense_suited,5,True,False,181.16820847477123,57,11.4,7.00987091997221,1.0,0.0,1.2626259956902968,4.3354015786932845
left,left_vdense_suited,6,True,False,167.04213260204455,55,11.0,7.010925138799083,1.0,0.0,1.0324540937818907,4.351779626799429
left,left_vdense_suited,7,True,False,211.47440646265233,78,15.6,4.509877523301233,0.0,1.0,1.6898742212161404,inf
left,left_vdense_suited,8,True,False,181.31783852885383,58,11.6,7.009704577014526,1.0,0.0,0.5442772081648767,3.8640958660101594
left,left_vdense_suited,9,True,False,214.90433558106926,80,16.0,4.50718991580858,0.0,1.0,1.6392379794434329,inf
